Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Чекалюк,Орися,Іванівна,Жінка,1945-06-10,Гірничий інженер,хутір Каховка,"провулок Бокаріуса Миколи, буд. 58 кв. 2, Судак , 58126",358 29 96,hryhoriiakymenko@example.com
Зінкевич,Макар,Дмитрович,Чоловік,1973-01-10,Адвокат,село Вільнянськ,"сквер Пассіонарії, буд. 356 кв. 14, Радивилів, 08271",+380 41 025-82-54,stanislav87@example.com
Сич,Орися,Олександрівна,Жінка,2008-06-27,Журналіст,село Одеса,"парк Пассіонарії, буд. 765 кв. 712, Сулимівка (Слов'янськ), 61922",+380 (76) 179-87-74,stefanbabych@example.com
Ященко,Емілія,Андріївна,Жінка,1942-03-24,Музикант,село Чорноморськ,"площа Гладкова, буд. 811, Ізяслав, 18223",+380 (63) 836-05-71,hryhoriialekseienko@example.org
Деряжна,Галина,Григорівна,Жінка,1994-03-04,Професор,село Краматорськ,"вулиця Маячний, буд. 537 кв. 50, Бар, 48177",+380 06 683 74 80,ademydenko@example.org
Гайворонська,Святослава,Олександрівна,Жінка,1998-05-22,Фрілансер,селище Бахчисарай,"узвіз Хімічний 2-й, буд. 8, Молодогвардійськ, 77212",012 339-09-57,ivyshniak@example.org
Лагода,Охрім,Леонідович,Чоловік,1967-05-01,Математик,селище Славута,"проспект Лиманчик 2-й Лінія 1-ша, буд. 434 кв. 8, Гадяч, 54086",+380 25 037-26-27,eduardvernydub@example.net
Носаченко,Ірина,Андріївна,Жінка,1966-08-29,Мірошник,місто Знам'янка,"парк Карантинна, буд. 949, Пологи , 65753",+380 65 533-09-61,stefan13@example.com
Семенченко,Олена,Іванівна,Жінка,1950-11-16,Шериф,місто Жмеринка,"провулок Флотська, буд. 188, Ізюм, 45587",+380 00 470-04-67,cprotsenko@example.net
Вергун,Орина,Петрівна,Жінка,1974-11-09,Стиліст,хутір Снігурівка,"сквер Карантинна, буд. 820, Носівка, 27531",+380 71 170 33 46,vasylenkoievhen@example.org
Базавлученко,Адам,Андрійович,Чоловік,2000-05-26,Фотограф,місто Городище ,"вулиця Інтернаціональний, буд. 663 кв. 592, Стрий, 63326",+380 04 181-28-12,smiroshnychenko@example.org
Палій,Демид,Іванович,Чоловік,1981-11-18,Гірник,селище Дубляни,"парк Хаджибейський 2-й, буд. 028, Вишгород, 72971",003 426 31 68,andriidubas@example.net
Гречаник,Володимира,Дмитрівна,Жінка,2004-05-30,Реабілітолог,місто Ялта,"провулок Михайлівська, буд. 254 кв. 46, Бердянськ, 84398",009 504-24-90,myronkadeniuk@example.com
Гайденко,Борис,Степанович,Чоловік,1939-08-17,Швачка,місто Бобринець,"проспект Верф’яний, буд. 8, Гірник , 04707",012 734-66-32,aaronskoryk@example.org
Дуплій,Юхим,Ігорович,Чоловік,1946-04-23,Пілот,селище Вовчанськ,"вулиця Івана Франка, буд. 8 кв. 1, Антрацит , 38572",+380 95 802-80-19,xkolisnychenko@example.net
Атаманчук,Тимофій,Богданович,Чоловік,1989-02-23,Медик,селище Кременчук,"провулок Юрія Олеші, буд. 99 кв. 542, Рені, 61857",000 523-15-30,andriidrobiazko@example.org
Матяш,Герман,Григорович,Чоловік,1979-08-03,Дизайнер,хутір Молодогвардійськ,"набережна Вапняний 3-й, буд. 9, Маріуполь, 50541",404-39-09,jkhmara@example.net
Власенко,Вікторія,Дмитрівна,Жінка,1951-04-01,Водій,місто Зугрес,"парк Локомотивний 4-й, буд. 21, Новодністровськ, 19186",+380 05 807-06-13,zhukkyrylo@example.com
Дзюба,Варфоломій,Юрійович,Чоловік,1954-04-05,Державний службовець,село Турка,"проспект Лузанівка, буд. 60 кв. 235, Гуляйполе, 44488",+380 33 229 93 61,xvasylechko@example.org
Вдовиченко,Станіслав,Євгенович,Чоловік,1988-08-08,Прокурор,селище Краматорськ,"узвіз Дюківський сад, буд. 33 кв. 02, Білгород-Дністровський, 11622",331 65 08,ivan01@example.net
Царенко,Златослава,Григорівна,Жінка,1952-12-04,Штукатур,село Сколе,"сквер Першотравневий 2-й, буд. 13 кв. 70, Валки , 39525",+380 (02) 558-09-48,havryshkevychprokhir@example.net
Шахрай,Ростислав,Богданович,Чоловік,1989-11-28,Медик,селище Макіївка,"сквер Шефська, буд. 54, Марганець , 42342",+380 65 666-22-02,bohuslava79@example.net
Пустовіт,Данило,Дмитрович,Чоловік,1973-04-22,Флорист,місто Новоазовськ,"провулок Байдарочний, буд. 87, П'ятихатки, 96974",660 48 12,efurs@example.com
Овчаренко,Лілія,Григорівна,Жінка,1962-08-14,Різноробочий,село Андрушівка,"провулок Ціолковського, буд. 7 кв. 0, Борзна, 73343",127 85 63,adadzhun@example.com
Дубина,Зорян,Володимирович,Чоловік,1945-09-06,Штукатур,місто Енергодар,"проспект Ананьївська, буд. 318 кв. 001, Південне , 93697",+380 74 176 51 33,qtsiutsiura@example.org
Тимчук,Руслан,Володимирович,Чоловік,1990-09-24,Лікар,хутір Кременчук,"площа Олександра Невського 2-й, буд. 83, Сновськ, 76126",+380 33 710 22 05,babiakeduard@example.net
Сірко,Маруся,Олексіївна,Жінка,1987-05-18,Футболіст,селище Южне,"вулиця Серединський, буд. 7 кв. 273, Березне, 43929",+380 75 643 28 33,yzakusylo@example.net
Дубас,Степан,Євгенович,Чоловік,1942-08-28,Економіст,хутір Боково-Хрустальне,"узвіз Літакова, буд. 3, Суми, 24646",824-33-37,pustovitomelian@example.com
Вітрук,Мирон,Васильович,Чоловік,1974-03-30,Редактор,місто Тернопіль,"набережна Південно-Санаторний, буд. 61 кв. 20, Почаїв, 69091",+380 (24) 487-35-63,varvarahuk@example.org
Джус,Марина,Василівна,Жінка,1973-04-07,Журналіст,село Снігурівка,"площа Ліверпульський, буд. 8, Донецьк, 55443",+380 (17) 632-74-60,petroshvachka@example.net
Саченко,Євген,Євгенович,Чоловік,1988-03-25,Слідчий,місто Південне ,"парк Морехідний, буд. 7 кв. 8, Бердянськ, 90406",089 692 29 54,wdeineka@example.org
Цісик,Камілла,Олексіївна,Жінка,1979-08-03,Євнух,хутір Броди,"провулок Першотравневий 1-й, буд. 16, Кіцмань, 77619",095 213 95 54,prokhir73@example.com
Вернидуб,Миколай,Богданович,Чоловік,1961-12-29,Футболіст,селище Ланівці,"шосе Волна тупик, буд. 207 кв. 7, Іллінці, 45800",+380 27 802-55-37,ihnat36@example.org
Зарудна,Емілія,Юріївна,Жінка,1943-07-06,Піаніст,село Бібрка,"набережна Карантинний узвіз, буд. 2, Рудки, 96771",+380 80 917-18-53,yishchak@example.org
Заруба,Владислав,Олегович,Чоловік,1971-09-18,Клоун,село Новий Буг,"вулиця Лазурний 2-й, буд. 53, Ківерці, 95305",+380 80 133 20 73,vakulenkovira@example.com
Бабʼяк,Аарон,Степанович,Чоловік,1987-02-18,Професор,село Жовква,"сквер Курганська, буд. 132 кв. 693, Золоте, 31691",082 327-78-25,fedir16@example.net
Дуплій,Володимира,Юріївна,Жінка,1964-01-07,Гицель,селище Ходорів,"проспект Магнітогорський, буд. 31 кв. 89, Нова Одеса, 55549",317 33 49,bandurkamykyta@example.net
Адаменко,Захар,Іванович,Чоловік,1967-05-11,Антрополог,хутір Обухів,"парк Магнітогорська, буд. 8 кв. 49, Жданівка, 91819",008 097 25 11,haidenkomariia@example.net
Фесенко,Андрій,Сергійович,Чоловік,1960-09-24,Психолог,селище Слов'янськ,"проспект Кедровий, буд. 9 кв. 6, Дружба , 34732",+380 61 402 31 70,daryna18@example.net
Кириленко,Яків,Ігорович,Чоловік,1995-06-27,Хімік,селище Остер ,"площа Азербайджан, буд. 141, Калинівка , 31919",554 11 66,phuz@example.net
Бабариченко,Богодар,Олексійович,Чоловік,1967-09-18,Астронавт,місто Покров,"проспект Щоголєва, буд. 704, Тетіїв, 78260",015 596-14-67,violettadurdynets@example.com
